Date,Open,High,Low,Close,Adj Close,Volume
"Jul 14, 2025",317.73,322.60,312.67,316.90,316.90,78043400
"Jul 11, 2025",307.89,314.09,305.65,313.51,313.51,79236400
"Jul 10, 2025",300.05,310.48,300.00,309.87,309.87,104365300
"Jul 9, 2025",297.55,300.15,293.55,295.88,295.88,75586800
"Jul 8, 2025",297.00,304.05,294.35,297.81,297.81,103246700
"Jul 7, 2025",291.37,296.15,288.77,293.94,293.94,131177900
"Jul 3, 2025",317.99,318.45,312.76,315.35,315.35,58042300
"Jul 2, 2025",312.63,316.83,303.82,315.65,315.65,119483700
"Jul 1, 2025",298.46,305.89,293.21,300.71,300.71,145085700
"Jun 30, 2025",319.90,325.58,316.60,317.66,317.66,76695100
"Jun 27, 2025",324.51,329.34,317.50,323.63,323.63,89067000
"Jun 26, 2025",324.61,331.05,323.61,325.78,325.78,80440900
"Jun 25, 2025",342.70,343.00,320.40,327.55,327.55,119845100
"Jun 24, 2025",356.17,356.26,340.44,340.47,340.47,114736200
"Jun 23, 2025",327.54,357.54,327.48,348.68,348.68,190716800
"Jun 20, 2025",327.95,332.36,317.78,322.16,322.16,108688000
"Jun 18, 2025",317.31,329.32,315.45,322.05,322.05,95137700
"Jun 17, 2025",326.09,327.26,314.74,316.35,316.35,88282700
"Jun 16, 2025",331.29,332.05,326.41,329.13,329.13,83925900
"Jun 13, 2025",313.97,332.99,313.30,325.31,325.31,128964300
"Jun 12, 2025",323.08,332.56,316.86,319.11,319.11,105127500
"Jun 11, 2025",334.40,335.50,322.50,326.43,326.43,122611400
"Jun 10, 2025",314.94,327.83,310.67,326.09,326.09,151256500
"Jun 9, 2025",285.96,309.83,281.85,308.58,308.58,140908900
"Jun 6, 2025",298.83,305.50,291.14,295.14,295.14,164747700
"Jun 5, 2025",322.49,324.55,273.21,284.70,284.70,287499800
"Jun 4, 2025",345.10,345.60,327.33,332.05,332.05,98912100
"Jun 3, 2025",346.60,355.40,343.04,344.27,344.27,99324500
"Jun 2, 2025",343.50,348.02,333.33,342.69,342.69,81873800
"May 30, 2025",355.52,363.68,345.29,346.46,346.46,123474900
"May 29, 2025",365.29,367.71,356.00,358.43,358.43,88087800
"May 28, 2025",364.84,365.00,355.91,356.90,356.90,91404300
"May 27, 2025",347.35,363.79,347.32,362.89,362.89,120146400
"May 23, 2025",337.92,343.18,333.21,339.34,339.34,84654800
"May 22, 2025",331.90,347.27,331.39,341.04,341.04,97113400
"May 21, 2025",344.43,347.35,332.20,334.62,334.62,102354800
"May 20, 2025",347.87,354.99,341.63,343.82,343.82,131715500
"May 19, 2025",336.30,343.00,333.37,342.09,342.09,88869900
"May 16, 2025",346.24,351.62,342.33,349.98,349.98,95895700
"May 15, 2025",340.34,346.14,334.72,342.82,342.82,97882600
"May 14, 2025",342.50,350.00,337.00,347.68,347.68,136997300
"May 13, 2025",320.00,337.59,316.80,334.07,334.07,136992600
"May 12, 2025",321.99,322.21,311.50,318.38,318.38,112826700
"May 9, 2025",290.21,307.04,290.00,298.26,298.26,132387800
"May 8, 2025",279.63,289.80,279.41,284.82,284.82,97539400
"May 7, 2025",276.88,277.92,271.00,276.22,276.22,71592600
"May 6, 2025",273.11,277.73,271.35,275.35,275.35,76715800
"May 5, 2025",284.57,284.85,274.40,280.26,280.26,94618900
"May 2, 2025",284.90,294.78,279.81,287.21,287.21,114454700
"May 1, 2025",280.01,290.87,279.81,280.52,280.52,99659000
"Apr 30, 2025",279.90,284.45,270.78,282.16,282.16,128961100
"Apr 29, 2025",285.50,293.32,279.47,292.03,292.03,108906600
"Apr 28, 2025",288.98,294.86,272.42,285.88,285.88,151731800
"Apr 25, 2025",261.69,286.85,259.63,284.95,284.95,167560700
"Apr 24, 2025",250.50,259.54,249.20,259.51,259.51,94464200
"Apr 23, 2025",254.86,259.45,244.43,250.74,250.74,150381900
"Apr 22, 2025",230.96,242.79,229.85,237.97,237.97,120858500
"Apr 21, 2025",230.26,232.21,222.79,227.50,227.50,97768000
"Apr 17, 2025",243.47,244.34,237.68,241.37,241.37,83404800
"Apr 16, 2025",247.61,251.97,233.89,241.55,241.55,112378700
"Apr 15, 2025",249.91,258.75,247.54,254.11,254.11,79594300
"Apr 14, 2025",258.36,261.80,245.93,252.35,252.35,100135200
